UTKUSDT,VANRYUSDT
10.41714,3182.5917
483.2475,7152.1577
83.30355,5.244
69.97985,48.9446
5.07315,666.862
4074.49148,720.0012
35.24576,182.6223
1473.25629,34.9407
1202.99906,204.9923
223.54283,35.0718
40.27266,462.796
0.0,544.3244
0.0,1202.2489
63.51342,0.0
27.39122,1662.9183
1240.06935,11294.3133
0.0,1247.6341
552.13522,308.7252
2478.75479,439.1083
334.65463,79.611
232.10882,674.0462
14.37295,46.8179
5.78972,25.9313
678.45352,3797.711
163.19562,0.0
11.96178,176.8976
38.16976,0.0
16.22316,0.0
5.24544,46.9581
48.78785,0.0
32.99652,25.2168
82.57032,0.0
14.993,2785.9942
220.43809,9737.5847
0.0,2788.5827
114.114,8170.4932
789.52341,29.784
664.93986,3909.8767
243.79951,17.9607
16.17344,0.0
331.74746,0.0
152.28991,7706.2996
85.63158,6554.2571
23.81616,2883.3697
52.53313,20.0996
24.69276,16.8732
21.52816,2461.0966
153.16346,514.1064
81.43127,0.0
26.7736,1040.4533
345.1113,2143.0708
1759.10661,6104.6493
10122.76035,3013.2885
935.23145,0.0
57.19851,5732.3114
0.0,348.8872
20.72917,20.3145
286.59049,857.8736
8.43804,0.0
61.50338,2537.2148
521.18813,29.7788
0.0,0.0
0.0,0.0
132.19665,38.541
1298.43116,0.0
207.52608,8.284
2362.20792,52.2764
3098.71902,109.0
29.9269,11.1795
214.94963,0.0
4493.71928,9211.1961
1281.40573,0.0
207.84952,513.639
45.3555,0.0
1084.69397,0.0
51.26309,0.0
597.92438,9539.028
15.52686,847.8723
107.96541,3375.513
79.82965,0.0
26.39133,0.0
2046.22226,1758.6496
126.52233,0.0
897.46433,742.1705
544.85293,5207.0121
26.50754,159.8299
13.91474,0.0
89.65726,5.5936
14.35868,40.093
63.08256,270.2111
75.79715,566.825
334.56954,5.0692
0.0,6.4676
261.14448,0.0
61.13499,5314.8235
107.8838,10982.7416
41183.13986,3741.7464
3659.7941,805.8629
612.83271,22518.1957
4468.81612,1567.1266
38.67138,2029.5848
469.91613,1456.0819
192.907,5.4875
108.12111,0.0
753.70016,13.7532
161.0666,0.0
1023.50455,11762.77
2151.09396,0.0
100.6649,0.0
590.05338,0.0
10.66632,28.4219
0.0,0.0
127.11516,0.0
31.74188,52.9542
184.11258,2496.0023
30.29523,992.7985
128.86828,11831.634
62.12357,0.0
66.15917,37.2203
101.47994,1058.9526
27.11566,99.9954
266.8466,40.515
69.05107,2688.3126
55.14352,105.8208
24.786,74.8495
19.68186,1021.0656
240.82296,4005.142
655.12516,0.0
97.3691,2240.6488
271.93428,62.702
40.68378,1980.1322
0.0,0.0
11.9218,0.0
78.10983,730.4964
5.426,54.969
147.95094,0.0
464.77029,10.6191
41.71056,25.0536
40.10351,11.1435
0.0,11.942
63.9976,3294.9112
7.1478,89.4682
185.53293,826.3016
381.07546,2904.8598
28.5356,59.6162
17.18617,14772.14
806.37128,219.252
682.25591,7074.6215
75.95183,916.7436
95.72257,218.262
11.94864,984.06
1671.57283,5013.7898
382.0822,1929.8601
665.78339,0.0
352.05705,807.5794
105.37733,3867.152
1497.56375,595.595
287.97359,451.7301
70.02217,0.0
28.19252,66.6013
228.59392,4725.9713
167.50225,444.3443
190.68227,0.0
17.81296,1483.7204
96.90938,0.0
8.19024,0.0
118.20891,0.0
71.07593,0.0
11.1192,0.0
288.95366,0.0
22.8088,10.1292
10.42368,4381.7943
50.14224,746.6145
563.71969,0.0
405.46029,871.104
6.07152,12.0336
117.05533,0.0
61.12538,0.0
9.90945,0.0
409.16801,3724.9702
9.90762,1149.7886
176.4391,0.0
74.76379,16.6868
265.03932,10495.6834
62.34337,34.9482
109.68927,0.0
368.01276,19.9709
893.19462,282.8634
1485.20515,34.9045
99.40004,11.1616
51.44476,140.2533
1754.13882,34.9482
71.24947,291.4556
1534.16064,34.9046
58.29265,185.1212
155.9496,91.5044
22.95,1850.2899
60.7362,5941.5591
518.69784,8611.3552
0.0,8904.8342
18.04936,8893.9092
103.01614,8793.3232
18072.53402,11296.9854
4015.71183,134.8256
24.23208,3314.9569
200.09423,811.4569
6.13364,143.2524
0.0,265.6924
52.18923,0.0
22.0263,4658.3446
7.33455,1400.2762
12.35107,4716.316
0.0,50.8681
